man_hour,target_num,exp,speed
47.96,30,1,1.1
44.22,30,1,1.1
37.4,30,0.8,1.1
39.168,30,0.8,1.2
38.16,30,0.9,1
48.84,30,1,1.1
46.764,30,0.9,1.2
36.81,30,0.9,1
39.552,30,0.8,1.2
39.996,30,0.9,1.1
38.88,30,0.9,1
86.229,60,0.9,1.1
95.472,60,0.9,1.2
78.144,60,0.8,1.1
87.9,60,1,1
71.28,60,0.8,1
93.312,60,0.9,1.2
107.04,60,1,1.2
102.36,60,1,1.2
87.12,60,0.9,1.1
95.7,60,1,1.1
93.636,60,0.9,1.2
115.192,90,0.8,1.1
129.888,90,0.9,1.1
160.2,90,1,1.2
120.33,90,0.9,1
117.656,90,0.8,1.1
129.096,90,0.9,1.1
117.48,90,0.8,1.1
119.97,90,0.9,1
128.997,90,0.9,1.1
106.88,90,0.8,1
127.104,90,0.8,1.2
157.08,120,0.8,1.1
143.44,120,0.8,1
194.4,120,0.9,1.2
155.408,120,0.8,1.1
175.428,120,0.9,1.1
213.84,120,1,1.2
177.309,120,0.9,1.1
154.176,120,0.8,1.1
194.7,120,1,1.1
175.428,120,0.9,1.1
194.81,120,1,1.1
246.4,150,1,1.1
218.691,150,0.9,1.1
242.88,150,1,1.1
244.75,150,1,1.1
196.856,150,0.8,1.1
245.3,150,1,1.1
195.096,150,0.8,1.1
243.21,150,1,1.1
241.812,150,0.9,1.2
246.73,150,1,1.1
242.22,150,1,1.1
240.93,180,0.9,1
294.91,180,1,1.1
234.344,180,0.8,1.1
267.003,180,0.9,1.1
293.37,180,1,1.1
289.224,180,0.9,1.2
263.34,180,0.9,1.1
262.746,180,0.9,1.1
292.6,180,1,1.1
234.872,180,0.8,1.1
239.94,180,0.9,1
279.99,210,0.9,1
248.96,210,0.8,1
337.392,210,0.9,1.2
274.56,210,0.8,1.1
274.032,210,0.8,1.1
274.736,210,0.8,1.1
337.608,210,0.9,1.2
338.58,210,0.9,1.2
309.375,210,0.9,1.1
283.32,210,0.9,1
309.672,210,0.9,1.1
